CustomerID,Age,Gender,Income,Spending Score,Purchase Frequency,Tenure,Location/City,Membership Level,Last Purchase Date,Preferred Category
C079,36,Male,72000,70,9,5,Spokane,Silver,2025-10-12,Travel
C080,48,Female,89000,89,17,9,Des Moines,Gold,2025-11-20,Beauty
C081,53,Male,94000,91,18,11,Modesto,Platinum,2025-11-29,Books
C082,24,Female,44000,61,6,1,Tacoma,Bronze,2025-10-09,Sports
C083,39,Male,74000,77,12,6,Fontana,Gold,2025-11-04,Home Decor
C084,46,Female,86000,85,15,9,Oxnard,Gold,2025-11-21,Travel
C085,58,Male,102000,95,20,14,Moreno Valley,Platinum,2025-11-11,Electronics
C086,31,Female,62000,73,10,4,Fayetteville,Gold,2025-11-27,Groceries
C087,44,Male,82000,80,13,8,Shreveport,Gold,2025-10-26,Fashion
C088,52,Female,91000,88,16,11,Akron,Platinum,2025-11-14,Beauty
C089,29,Male,58000,69,9,3,Montgomery,Silver,2025-11-10,Books
C090,37,Female,75000,78,12,6,Grand Rapids,Gold,2025-11-23,Home Decor
C091,49,Male,88000,84,14,10,Huntsville,Gold,2025-11-18,Travel
C092,55,Female,97000,92,19,12,Salt Lake City,Platinum,2025-10-15,Electronics
C093,26,Male,49000,63,7,2,Amarillo,Silver,2025-11-08,Sports
C094,34,Female,66000,72,10,4,Tallahassee,Gold,2025-11-05,Fashion
C095,43,Male,82000,81,13,7,Mobile,Gold,2025-11-24,Beauty
C096,50,Female,93000,90,17,10,Little Rock,Platinum,2025-11-29,Travel
C097,28,Male,56000,74,11,3,Anaheim,Gold,2025-11-13,Books
C098,39,Female,73000,76,12,6,Augusta,Gold,2025-10-19,Home Decor
C099,47,Male,87000,85,15,9,Grand Prairie,Gold,2025-11-16,Electronics
C100,53,Female,96000,91,18,11,Brownsville,Platinum,2025-11-30,Travel
